Collected by @Koukotsukan, Github

陈赫,男
陈坤,男
邓超,男
邓伦,男
杜淳,男
冯绍峰,男
胡歌,男
黄渤,男
黄磊,男
黄晓明,男
黄子韬,男
贾乃亮,男
李晨,男
李现,男
李易峰,男
林更新,男
鹿晗,男
靳东,男
井柏然,男
刘昊然,男
刘烨,男
陆毅,男
罗晋,男
沈腾,男
孙红雷,男
佟大为,男
王宝强,男
汪峰,男
王俊凯,男
王凯,男
王一博,男
王源,男
吴京,男
吴亦凡,男
罗一舟,男
小沈阳,男
肖战,男
徐峥,男
杨洋,男
易烊千玺,男
岳云鹏,男
张翰,男
张杰,男
张一山,男
张艺兴,男
赵文卓,男
郑恺,男
朱一龙,男
艾伦,男
白敬亭,男
白举纲,男
白客,男
白宇,男
包贝尔,男
蔡徐坤,男
陈若轩,男
陈翔,男
陈晓,男
陈学冬,男
成毅,男
大张伟,男
董成鹏,男
董子健,男
窦骁,男
段奕宏,男
付辛博,男
高伟光,男
高云翔,男
郭京飞,男
郭晓东,男
韩栋,男
韩东君,男
韩庚,男
何晟铭,男
侯明昊,男
胡兵,男
胡海泉,男
胡彦斌,男
胡一天,男
华晨宇,男
黄景瑜,男
黄轩,男
黄宥明,男
姜潮,男
金瀚,男
雷佳音,男
李佳航,男
李荣浩,男
罗云熙,男
马可,男
马天宇,男
毛不易,男
茅子俊,男
聂远,男
欧豪,男
潘粤明,男
乔振宇,男
秦俊杰,男
任嘉伦,男
任重,男
沙溢,男
盛一伦,男
释小龙,男
孙坚,男
孙艺洲,男
王传君,男
王千源,男
王学兵,男
王迅,男
王栎鑫,男
魏晨,男
魏大勋,男
吴磊,男
肖央,男
邢昭林,男
徐海乔,男
徐开骋,男
许凯,男
许魏洲,男
严屹宽,男
杨烁,男
杨志刚,男
叶祖新,男
印小天,男
尹正,男
俞灏明,男
于和伟,男
于朦胧,男
袁弘,男
曾舜晞,男
张彬彬,男
张嘉益,男
张晋,男
张伦硕,男
张睿,男
张若昀,男
张晓龙,男
张译,男
张云龙,男
周一围,男
朱亚文,男
白澍,男
毕雯珺,男
蔡俊涛,男
曹骏,男
常远,男
陈飞宇,男
陈昊,男
陈龙,男
陈星旭,男
陈宥维,男
陈哲远,男
陈震,男
迟帅,男
初俊辰,男
大左,男
戴景耀,男
戴阳天,男
丁程鑫,男
丁禹兮,男
杜江,男
范丞丞,男
范世錡,男
费启鸣,男
冯建宇,男
傅程鹏,男
高广泽,男
高仁,男
高昊,男
高鑫,男
高梓淇,男
高至霆,男
耿乐,男
谷嘉诚,男
谷智鑫,男
管栎,男
韩承羽,男
郭俊辰,男
郭麒麟,男
郭晓峰,男
郭子凡,男
韩承羽,男
黄觉,男
黄明昊,男
胡先煦,男
霍尊,男
季晨,男
季肖冰,男
简弘亦,男
江明洋,男
蒋毅,男
金世佳,男
金志文,男
经超,男
康磊,男
孔垂楠,男
李晨浩,男
李东学,男
李光洁,男
李宏毅,男
李健,男
李茂,男
李炜,男
李汶翰,男
李泽锋,男
林申,男
林彦俊,男
凌潇肃,男
刘畅,男
刘芮麟,男
刘帅良,男
刘学义,男
刘维,男
刘奕畅,男
刘宇宁,男
刘智扬,男
陆昱霖,男
马赫,男
马雪阳,男
孟瑞,男
孟召重,男
米热,男
宁桓宇,男
牛骏峰,男
裴子添,男
彭楚粤,男
彭冠英,男
彭昱畅,男
蒲巴甲,男
戚迹,男
钱枫,男
钱泳辰,男
秦昊,男
屈楚萧,男
饶威,男
沈凌,男
沈泰,男
宋威龙,男
苏醒,男
孙伯纶,男
檀健次,男
谭凯,男
田重,男
佟梦实,男
王博文,男
王东,男
汪铎,男
王雷,男
王琳凯,男
王龙华,男
王彦霖,男
王雨甜,男
王自健,男
王子异,男
魏千翔,男
徐正溪,男
魏巍,男
